director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combined
Lawrence Guterman,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,Action Comedy Family Fantasy,cats & dogs,carol ann susi elizabeth perkin miriam margoly lawrenc guterman action comedi famili fantasi
F. Gary Gray,Jason Statham,Charlize Theron,Jimmy Shubert,Action Crime Thriller,the italian job,jason statham charliz theron jimmi shubert f. gari gray action crime thriller
Marc Lawrence,Dorian Missick,Alicia Witt,Dana Ivey,Comedy Romance,two weeks notice,dorian missick alicia witt dana ivey marc lawrenc comedi romanc
Eric Darnell,Sylvester Stallone,Woody Allen,Anne Bancroft,Adventure Animation Comedy Family,antz,sylvest stallon woodi allen ann bancroft eric darnel adventur anim comedi famili
Peter Billingsley,Jon Favreau,Kristin Davis,Tasha Smith,Comedy,couples retreat,jon favreau kristin davi tasha smith peter billingsley comedi
Tony Scott,Tom Cruise,Robert Duvall,Randy Quaid,Action Drama Sport,days of thunder,tom cruis robert duval randi quaid toni scott action drama sport
Adam Shankman,Taylor Lautner,Tom Welling,Alyson Stoner,Adventure Comedy Family,cheaper by the dozen 2,taylor lautner tom well alyson stoner adam shankman adventur comedi famili
Wes Ball,Ki Hong Lee,Lili Taylor,Rosa Salazar,Action Sci-Fi Thriller,the scorch trials,ki hong lee lili taylor rosa salazar we ball action sci-fi thriller
Ryan Murphy,James Franco,Julia Roberts,Billy Crudup,Drama Romance,eat pray love,jame franco julia robert billi crudup ryan murphi drama romanc
Brett Ratner,Nicolas Cage,Don Cheadle,Amber Valletta,Comedy Drama Fantasy Romance,the family man,nicola cage don cheadl amber valletta brett ratner comedi drama fantasi romanc
Robert Schwentke,Bruce Willis,Morgan Freeman,Jaqueline Fleming,Action Comedy Crime Thriller,red,bruce willi morgan freeman jaquelin fleme robert schwentk action comedi crime thriller
Oliver Stone,Al Pacino,Dennis Quaid,LL Cool J,Drama Sport,any given sunday,al pacino denni quaid ll cool j oliv stone drama sport
Robert Redford,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,Drama Romance Western,the horse whisperer,scarlett johansson kristin scott thoma jessalyn gilsig robert redford drama romanc western
Michael Mann,Tom Cruise,Jada Pinkett Smith,Debi Mazar,Crime Drama Thriller,collateral,tom cruis jada pinkett smith debi mazar michael mann crime drama thriller
Chuck Russell,Dwayne Johnson,Roger Rees,Bernard Hill,Action Adventure Fantasy Thriller,the scorpion king,dwayn johnson roger ree bernard hill chuck russel action adventur fantasi thriller
Jay Russell,Billy Burke,Jay Hernandez,Jacinda Barrett,Action Drama Thriller,ladder 49,billi burk jay hernandez jacinda barrett jay russel action drama thriller
Renny Harlin,LL Cool J,Michael Rapaport,Saffron Burrows,Action Sci-Fi Thriller,deep blue sea,ll cool j michael rapaport saffron burrow renni harlin action sci-fi thriller
Kenny Ortega,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,Documentary Music,this is it,misha gabriel hamilton mekia cox judith hill kenni ortega documentari music
Steven Soderbergh,Matt Damon,Monique Gabriela Curnen,Griffin Kane,Drama Thriller,contagion,matt damon moniqu gabriela curnen griffin kane steven soderbergh drama thriller
David McNally,Estella Warren,Dyan Cannon,Bill Hunter,Action Adventure Comedy Crime,kangaroo jack,estella warren dyan cannon bill hunter david mcnalli action adventur comedi crime
Henry Selick,Jennifer Saunders,Dawn French,John Hodgman,Animation Family Fantasy,coraline,jennif saunder dawn french john hodgman henri selick anim famili fantasi
M. Night Shyamalan,Zooey Deschanel,Alan Ruck,Kristen Connolly,Sci-Fi Thriller,the happening,zooey deschanel alan ruck kristen connolli m. night shyamalan sci-fi thriller
Tony Scott,Denzel Washington,Radha Mitchell,Giancarlo Giannini,Action Crime Drama Thriller,man on fire,denzel washington radha mitchel giancarlo giannini toni scott action crime drama thriller
Brian Robbins,Robert Downey Jr.,Joel David Moore,Kristin Davis,Comedy Family Fantasy,the shaggy dog,robert downey jr. joel david moor kristin davi brian robbin comedi famili fantasi
Todd Phillips,Snoop Dogg,Carmen Electra,Fred Williamson,Comedy Crime,starsky & hutch,snoop dogg carmen electra fred williamson todd phillip comedi crime
Brian Levant,Jim Belushi,Harvey Korman,Jake Lloyd,Comedy Family,jingle all the way,jim belushi harvey korman jake lloyd brian levant comedi famili
Guillermo del Toro,James Babson,Rupert Evans,Brian Steele,Action Fantasy Horror Sci-Fi,hellboy,jame babson rupert evan brian steel guillermo del toro action fantasi horror sci-fi
Steven Zaillian,Robert Duvall,Kathleen Quinlan,Sydney Pollack,Drama,a civil action,robert duval kathleen quinlan sydney pollack steven zaillian drama
Chris Butler,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,Adventure Animation Comedy Family Fantasy,paranorman,anna kendrick kodi smit-mcphe elain stritch chri butler adventur anim comedi famili fantasi
Michael Caton-Jones,J.K. Simmons,Bruce Willis,Sophie Okonedo,Action Adventure Crime Thriller,the jackal,j.k. simmon bruce willi sophi okonedo michael caton-jon action adventur crime thriller
John Woo,Ivana Milicevic,Joe Morton,Callum Rennie,Action Mystery Sci-Fi Thriller,paycheck,ivana milicev joe morton callum renni john woo action mysteri sci-fi thriller
Jon Avnet,Joe Mantegna,Stockard Channing,Raymond Cruz,Drama Romance,up close & personal,joe mantegna stockard chan raymond cruz jon avnet drama romanc
Sam Fell,Emma Watson,Matthew Broderick,Frank Langella,Adventure Animation Comedy Family Fantasy,the tale of despereaux,emma watson matthew broderick frank langella sam fell adventur anim comedi famili fantasi
unknown,Bianca Kajlich,Oliver Hudson,Adhir Kalyan,Comedy Romance,rules of engagement            ,bianca kajlich oliv hudson adhir kalyan unknown comedi romanc
Kevin Donovan,Romany Malco,Debi Mazar,Ritchie Coster,Action Comedy Sci-Fi,the tuxedo,romani malco debi mazar ritchi coster kevin donovan action comedi sci-fi
Geoff Murphy,Peter Greene,Brenda Bakke,Patrick Kilpatrick,Action Thriller,under siege 2: dark territory,peter green brenda bakk patrick kilpatrick geoff murphi action thriller
Kenneth Branagh,Colm Feore,Nonso Anozie,Gemma Chan,Action Drama Thriller,jack ryan: shadow recruit,colm feor nonso anozi gemma chan kenneth branagh action drama thriller
David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Biography Comedy Drama,joy,jennif lawrenc robert de niro bradley cooper david o. russel biographi comedi drama
Babak Najafi,Gerard Butler,Radha Mitchell,Julian Kostov,Action Crime Drama Thriller,london has fallen,gerard butler radha mitchel julian kostov babak najafi action crime drama thriller
Jean-Pierre Jeunet,Gary Dourdan,Michael Wincott,Raymond Cruz,Action Horror Sci-Fi,alien: resurrection,gari dourdan michael wincott raymond cruz jean-pierr jeunet action horror sci-fi
Antoine Fuqua,Tate Donovan,Ned Beatty,Louis Ferreira,Action Crime Drama Mystery Thriller,shooter,tate donovan ned beatti loui ferreira antoin fuqua action crime drama mysteri thriller
Graham Annable,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,Adventure Animation Comedy Family Fantasy,the boxtrolls,isaac hempstead wright dee bradley baker traci morgan graham annabl adventur anim comedi famili fantasi
Griffin Dunne,Goran Visnjic,Dianne Wiest,Stockard Channing,Comedy Drama Fantasy Romance,practical magic,goran visnjic diann wiest stockard chan griffin dunn comedi drama fantasi romanc
Phil Lord,Morgan Freeman,Will Ferrell,Alison Brie,Action Adventure Animation Comedy Family Fantasy,the lego movie,morgan freeman will ferrel alison brie phil lord action adventur anim comedi famili fantasi
John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams,Action Comedy Crime,miss congeniality 2: armed and fabulous,eileen brennan diedrich bader treat william john pasquin action comedi crime
Rob Bowman,Christian Bale,Gerard Butler,Matthew McConaughey,Action Adventure Fantasy Sci-Fi Thriller,reign of fire,christian bale gerard butler matthew mcconaughey rob bowman action adventur fantasi sci-fi thriller
Ruben Fleischer,Ryan Gosling,Brandon Molale,Wade Williams,Action Crime Drama Thriller,gangster squad,ryan gosl brandon molal wade william ruben fleischer action crime drama thriller
Harold Ramis,Olivia Wilde,Oliver Platt,Xander Berkeley,Adventure Comedy,year one,olivia wild oliv platt xander berkeley harold rami adventur comedi
Clint Eastwood,Matt Damon,Morgan Freeman,Leleti Khumalo,Biography Drama History Sport,invictus,matt damon morgan freeman leleti khumalo clint eastwood biographi drama histori sport
Kevin Macdonald,Robin Wright,Harry Lennix,Michael Weston,Crime Drama Mystery Thriller,state of play,robin wright harri lennix michael weston kevin macdonald crime drama mysteri thriller
Tony Gilroy,Julia Roberts,Tom Wilkinson,Denis O'Hare,Comedy Crime Romance Thriller,duplicity,julia robert tom wilkinson deni o'har toni gilroy comedi crime romanc thriller
Donald Petrie,Steven Anthony Lawrence,Ray Walston,Michael Lerner,Comedy Family Sci-Fi,my favorite martian,steven anthoni lawrenc ray walston michael lerner donald petri comedi famili sci-fi
Clark Johnson,Blair Brown,David Rasche,Martin Donovan,Action Crime Thriller,the sentinel,blair brown david rasch martin donovan clark johnson action crime thriller
Jorge Blanco,Dwayne Johnson,Gary Oldman,James Corden,Adventure Animation Comedy Family Sci-Fi,planet 51,dwayn johnson gari oldman jame corden jorg blanco adventur anim comedi famili sci-fi
Stuart Baird,Tom Hardy,LeVar Burton,Jonathan Frakes,Action Adventure Sci-Fi Thriller,star trek: nemesis,tom hardi levar burton jonathan frake stuart baird action adventur sci-fi thriller
Joel Coen,Cedric the Entertainer,Paul Adelstein,Julia Duffy,Comedy Crime Romance,intolerable cruelty,cedric the entertain paul adelstein julia duffi joel coen comedi crime romanc
Robert Lorenz,Clint Eastwood,Ed Lauter,Bob Gunton,Drama Sport,trouble with the curve,clint eastwood ed lauter bob gunton robert lorenz drama sport
Martin Campbell,Bojana Novakovic,Ray Winstone,Denis O'Hare,Crime Drama Mystery Thriller,edge of darkness,bojana novakov ray winston deni o'har martin campbel crime drama mysteri thriller
Peter Hyams,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,Horror Mystery Sci-Fi Thriller,the relic,john kapelo penelop ann miller chi muoi lo peter hyam horror mysteri sci-fi thriller
Harold Ramis,Robert De Niro,Cathy Moriarty,Joe Viterelli,Comedy Crime,analyze that,robert de niro cathi moriarti joe viterelli harold rami comedi crime
Jon Avnet,Robert De Niro,Al Pacino,50 Cent,Action Crime Drama Mystery Thriller,righteous kill,robert de niro al pacino 50 cent jon avnet action crime drama mysteri thriller
Joe Wright,Robert Downey Jr.,Stephen Root,Rachael Harris,Biography Drama Music,the soloist,robert downey jr. stephen root rachael harri joe wright biographi drama music
Robert Redford,Matt Damon,Will Smith,Charlize Theron,Drama Fantasy Sport,the legend of bagger vance,matt damon will smith charliz theron robert redford drama fantasi sport
Cameron Crowe,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,Adventure Comedy Drama Music,almost famous,philip seymour hoffman zooey deschanel michael angarano cameron crow adventur comedi drama music
Tim Hill,Bill Murray,Roger Rees,Ben Falcone,Animation Comedy Family Fantasy,garfield 2,bill murray roger ree ben falcon tim hill anim comedi famili fantasi
Lee Tamahori,Sunny Mabrey,Nona Gaye,Xzibit,Action Adventure Crime Thriller,xxx: state of the union,sunni mabrey nona gay xzibit lee tamahori action adventur crime thriller
Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins,Action Fantasy Horror Sci-Fi Thriller,priest,josh wingat alan dale jacob hopkin scott stewart action fantasi horror sci-fi thriller
Patrick Gilmore,Brad Pitt,Adriano Giannini,Timothy West,Adventure Animation Comedy Drama Family Fantasy Romance,sinbad: legend of the seven seas,brad pitt adriano giannini timothi west patrick gilmor adventur anim comedi drama famili fantasi romanc
Paul W.S. Anderson,Sean Pertwee,Joely Richardson,Kathleen Quinlan,Horror Sci-Fi Thriller,event horizon,sean pertwe joeli richardson kathleen quinlan paul w.s. anderson horror sci-fi thriller
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,the avengers,chri hemsworth robert downey jr. scarlett johansson joss whedon action adventur sci-fi
Tom Shadyac,Joe Morton,Susanna Thompson,Matt Craven,Drama Fantasy Mystery Romance Thriller,dragonfly,joe morton susanna thompson matt craven tom shadyac drama fantasi mysteri romanc thriller
Brian De Palma,Scarlett Johansson,Mia Kirshner,Mike Starr,Crime Drama Mystery Thriller,the black dahlia,scarlett johansson mia kirshner mike starr brian de palma crime drama mysteri thriller
Tony Bill,James Franco,Tyler Labine,Philip Winchester,Action Adventure Drama History Romance War,flyboys,jame franco tyler labin philip winchest toni bill action adventur drama histori romanc war
Rod Lurie,Clifton Collins Jr.,Delroy Lindo,Michael Irby,Action Drama Thriller,the last castle,clifton collin jr. delroy lindo michael irbi rod luri action drama thriller
Walter Hill,Robert Forster,Wilson Cruz,Vanessa Marshall,Horror Sci-Fi Thriller,supernova,robert forster wilson cruz vanessa marshal walter hill horror sci-fi thriller
Akiva Goldsman,Matt Bomer,William Hurt,Kevin Corrigan,Drama Fantasy Mystery Romance,winter's tale,matt bomer william hurt kevin corrigan akiva goldsman drama fantasi mysteri romanc
Harald Zwart,Aidan Turner,Kevin Zegers,CCH Pounder,Fantasy Horror Mystery Romance,the mortal instruments: city of bones,aidan turner kevin zeger cch pounder harald zwart fantasi horror mysteri romanc
Brian Robbins,Marc Blucas,Mike O'Malley,Shawn Christian,Adventure Comedy Family Romance Sci-Fi,meet dave,marc bluca mike o'malley shawn christian brian robbin adventur comedi famili romanc sci-fi
Walter Salles,Dougray Scott,Camryn Manheim,Ariel Gade,Drama Horror Thriller,dark water,dougray scott camryn manheim ariel gade walter sall drama horror thriller
Ron Howard,Matthew McConaughey,Adam Goldberg,Clint Howard,Comedy Drama,edtv,matthew mcconaughey adam goldberg clint howard ron howard comedi drama
Iain Softley,Brendan Fraser,Stephen Graham,Jamie Foreman,Adventure Family Fantasy,inkheart,brendan fraser stephen graham jami foreman iain softley adventur famili fantasi
Frank Miller,Scarlett Johansson,Jaime King,Louis Lombardi,Action Crime Fantasy Thriller,the spirit,scarlett johansson jaim king loui lombardi frank miller action crime fantasi thriller
David Koepp,Johnny Depp,Olivia Munn,Ulrich Thomsen,Action Comedy Mystery Romance,mortdecai,johnni depp olivia munn ulrich thomsen david koepp action comedi mysteri romanc
Uwe Boll,Jason Statham,Mike Dopud,Tania Saulnier,Action Adventure Fantasy Thriller,in the name of the king: a dungeon siege tale,jason statham mike dopud tania saulnier uwe boll action adventur fantasi thriller
Martin Campbell,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,Adventure Drama Romance War,beyond borders,angelina joli pitt teri polo noah emmerich martin campbel adventur drama romanc war
Pou-Soi Cheang,Li Gong,Aaron Kwok,Eddie Peng,Action Adventure Fantasy,xi you ji zhi: sun wukong san da baigu jing,li gong aaron kwok eddi peng pou-soi cheang action adventur fantasi
John Dahl,James Franco,Clayne Crawford,Paolo Montalban,Action Drama War,the great raid,jame franco clayn crawford paolo montalban john dahl action drama war
Tim Miller,Ryan Reynolds,Ed Skrein,Stefan Kapicic,Action Adventure Comedy Romance Sci-Fi,deadpool,ryan reynold ed skrein stefan kapic tim miller action adventur comedi romanc sci-fi
Stephen Herek,Kelly Preston,Morgan Fairchild,Eric McCormack,Comedy Drama,holy man,kelli preston morgan fairchild eric mccormack stephen herek comedi drama
Clint Eastwood,Bradley Cooper,Leonard Roberts,Keir O'Donnell,Action Biography Drama History Thriller War,american sniper,bradley cooper leonard robert keir o'donnel clint eastwood action biographi drama histori thriller war
unknown,Nate Richert,Soleil Moon Frye,Caroline Rhea,Comedy Family Fantasy,"sabrina, the teenage witch            ",nate richert soleil moon frye carolin rhea unknown comedi famili fantasi
Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson,Comedy Fantasy Romance,just like heaven,jon heder ivana milicev willi garson mark water comedi fantasi romanc
Brian Levant,Taylor Negron,Mark Addy,Danny Woodburn,Comedy Family Romance Sci-Fi,the flintstones in viva rock vegas,taylor negron mark addi danni woodburn brian levant comedi famili romanc sci-fi
Peter MacDonald,Sylvester Stallone,Kurtwood Smith,Richard Crenna,Action Adventure Thriller War,rambo iii,sylvest stallon kurtwood smith richard crenna peter macdonald action adventur thriller war
George Clooney,Robert Baker,Malcolm Goodwin,Matt Bushell,Comedy Drama Romance Sport,leatherheads,robert baker malcolm goodwin matt bushel georg clooney comedi drama romanc sport
Frank Coraci,Taylor Lautner,Adam Sandler,Jon Lovitz,Comedy Western,the ridiculous 6,taylor lautner adam sandler jon lovitz frank coraci comedi western
Marc Lawrence,Michael Kelly,Kim Shaw,Kevin Brown,Comedy Drama Romance,did you hear about the morgans?,michael kelli kim shaw kevin brown marc lawrenc comedi drama romanc
Shawn Levy,Josh Gad,Jessica Szohr,Rob Riggle,Comedy,the internship,josh gad jessica szohr rob riggl shawn levi comedi
Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Shawn Roberts,Action Adventure Horror Sci-Fi,resident evil: afterlife,milla jovovich bori kodjo shawn robert paul w.s. anderson action adventur horror sci-fi
Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds,Action Adventure Drama History War,red tails,david oyelowo nate parker tristan mack wild anthoni hemingway action adventur drama histori war
unknown,Chris Noth,Kristin Davis,Cynthia Nixon,Comedy Romance,sex and the city            ,chri noth kristin davi cynthia nixon unknown comedi romanc
Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron,Drama Mystery Thriller,the devil's advocate,keanu reev al pacino charliz theron taylor hackford drama mysteri thriller
Sean Anders,Adam Sandler,Leighton Meester,Will Forte,Comedy,that's my boy,adam sandler leighton meester will fort sean ander comedi
Rob Cohen,Dennis Quaid,Brian Thompson,Terry O'Neill,Action Adventure Fantasy,dragonheart,denni quaid brian thompson terri o'neil rob cohen action adventur fantasi
Brett Ratner,Salma Hayek,Don Cheadle,Chris Penn,Action Comedy Crime Drama,after the sunset,salma hayek don cheadl chri penn brett ratner action comedi crime drama
Mark Neveldine,Nicolas Cage,Spencer Wilding,Christopher Lambert,Action Fantasy Thriller,ghost rider: spirit of vengeance,nicola cage spencer wild christoph lambert mark neveldin action fantasi thriller
John Madden,Christian Bale,Irene Papas,Mihalis Giannatos,Drama Music Romance War,captain corelli's mandolin,christian bale iren papa mihali giannato john madden drama music romanc war
unknown,Barry Corbin,Noureen DeWulf,Brian Austin Green,Comedy Romance,anger management            ,barri corbin noureen dewulf brian austin green unknown comedi romanc
Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan,Action Comedy Drama Family Thriller,the pacifier,vin diesel brad garrett tate donovan adam shankman action comedi drama famili thriller
Kevin Bray,Dwayne Johnson,Ashley Scott,Michael Bowen,Action Crime,walking tall,dwayn johnson ashley scott michael bowen kevin bray action crime
Robert Zemeckis,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,Comedy Drama,forrest gump,tom hank siobhan fallon hogan sam anderson robert zemecki comedi drama
Tim Hill,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,Animation Comedy Family Fantasy Music,alvin and the chipmunks,jess mccartney beth riesgraf matthew gray gubler tim hill anim comedi famili fantasi music
Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,Comedy,meet the parents,robert de niro blyth danner teri polo jay roach comedi
Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard,Adventure Animation Drama Family History Musical Romance,pocahontas,christian bale frank welker iren bedard mike gabriel adventur anim drama famili histori music romanc
Richard Donner,Marlon Brando,Margot Kidder,Ned Beatty,Action Adventure Drama Romance Sci-Fi,superman,marlon brando margot kidder ned beatti richard donner action adventur drama romanc sci-fi
Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle,Comedy Romance Sci-Fi,the nutty professor,jada pinkett smith jame coburn dave chappel tom shadyac comedi romanc sci-fi
Andy Tennant,Will Smith,Michael Rapaport,Kevin Sussman,Comedy Romance,hitch,will smith michael rapaport kevin sussman andi tennant comedi romanc
Sam Weisman,Brendan Fraser,Abraham Benrubi,Holland Taylor,Action Adventure Comedy Family Romance,george of the jungle,brendan fraser abraham benrubi holland taylor sam weisman action adventur comedi famili romanc
Jesse Dylan,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,Comedy Romance,american wedding,alyson hannigan thoma ian nichola fred willard jess dylan comedi romanc
Paul Greengrass,Tom Hanks,Chris Mulkey,Michael Chernus,Biography Drama Thriller,captain phillips,tom hank chri mulkey michael chernu paul greengrass biographi drama thriller
Shawn Levy,Mila Kunis,James Franco,Steve Carell,Comedy Crime Romance Thriller,date night,mila kuni jame franco steve carel shawn levi comedi crime romanc thriller
Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty,Comedy Family Fantasy,casper,eric idl fred roger cathi moriarti brad silberl comedi famili fantasi
Antoine Fuqua,Denzel Washington,Chloë Grace Moretz,James Wilcox,Action Crime Thriller,the equalizer,denzel washington chloë grace moretz jame wilcox antoin fuqua action crime thriller
Wayne Wang,Bob Hoskins,Frances Conroy,Natasha Richardson,Comedy Drama Romance,maid in manhattan,bob hoskin franc conroy natasha richardson wayn wang comedi drama romanc
Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder,Action Drama Thriller War,crimson tide,denzel washington viggo mortensen ricki schroder toni scott action drama thriller war
Gabriele Muccino,Will Smith,Kurt Fuller,James Karen,Biography Drama,the pursuit of happyness,will smith kurt fuller jame karen gabriel muccino biographi drama
Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm,Drama Mystery Thriller,flightplan,erika christensen michael irbi haley ramm robert schwentk drama mysteri thriller
Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,Drama Thriller,disclosure,demi moor dylan baker roma maffia barri levinson drama thriller
Brad Silberling,Nicolas Cage,Andre Braugher,Colm Feore,Drama Fantasy Romance,city of angels,nicola cage andr braugher colm feor brad silberl drama fantasi romanc
Quentin Tarantino,David Carradine,Vivica A. Fox,Chiaki Kuriyama,Action,kill bill: vol. 1,david carradin vivica a. fox chiaki kuriyama quentin tarantino action
Frank Oz,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,Comedy,bowfinger,robert downey jr. adam alexi-mal jami kennedi frank oz comedi
unknown,Christopher Judge,Don S. Davis,Gary Jones,Action Adventure Drama Sci-Fi,stargate sg-1            ,christoph judg don s. davi gari jone unknown action adventur drama sci-fi
Quentin Tarantino,Vivica A. Fox,Michael Parks,Michael Bowen,Action Crime Drama Thriller,kill bill: vol. 2,vivica a. fox michael park michael bowen quentin tarantino action crime drama thriller
Andrey Konchalovskiy,Sylvester Stallone,Jack Palance,Brion James,Action Comedy Crime Thriller,tango & cash,sylvest stallon jack palanc brion jame andrey konchalovskiy action comedi crime thriller
Robert Zemeckis,Bruce Willis,Meryl Streep,Isabella Rossellini,Comedy Fantasy Horror,death becomes her,bruce willi meryl streep isabella rossellini robert zemecki comedi fantasi horror
Tom Dey,Xander Berkeley,Jason Connery,Kate Luyben,Action Adventure Comedy Western,shanghai noon,xander berkeley jason conneri kate luyben tom dey action adventur comedi western
Stuart Baird,Oliver Platt,Joe Morton,J.T. Walsh,Action Adventure Thriller,executive decision,oliv platt joe morton j.t. walsh stuart baird action adventur thriller
Mark Waters,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,Comedy Family Fantasy,mr. popper's penguins,madelin carrol ophelia lovibond philip baker hall mark water comedi famili fantasi
Rob Minkoff,Jet Li,Thomas McDonell,Michael Angarano,Action Adventure Fantasy,the forbidden kingdom,jet li thoma mcdonel michael angarano rob minkoff action adventur fantasi
Jimmy Hayward,Amy Poehler,Carlos Ponce,Dan Fogler,Adventure Animation Comedy Family,free birds,ami poehler carlo ponc dan fogler jimmi hayward adventur anim comedi famili
David Fincher,Charles S. Dutton,Holt McCallany,Paul McGann,Action Horror Sci-Fi,alien 3,charl s. dutton holt mccallani paul mcgann david fincher action horror sci-fi
Alan Parker,Andrea Corr,Jimmy Nail,Peter Polycarpou,Biography Drama History Musical,evita,andrea corr jimmi nail peter polycarp alan parker biographi drama histori music
John Frankenheimer,Robert De Niro,Natascha McElhone,Michael Lonsdale,Action Adventure Crime Thriller,ronin,robert de niro natascha mcelhon michael lonsdal john frankenheim action adventur crime thriller
Stephen Hopkins,Tom Wilkinson,Bernard Hill,Om Puri,Adventure Drama Horror Thriller,the ghost and the darkness,tom wilkinson bernard hill om puri stephen hopkin adventur drama horror thriller
Paul King,Julie Walters,Matt Lucas,Sally Hawkins,Animation Comedy Family Fantasy,paddington,juli walter matt luca salli hawkin paul king anim comedi famili fantasi
William Friedkin,Connie Nielsen,Jenna Boyd,Rex Linn,Action Crime Drama Thriller,the hunted,conni nielsen jenna boyd rex linn william friedkin action crime drama thriller
Jon Turteltaub,Anthony Hopkins,Maura Tierney,John Ashton,Drama Thriller,instinct,anthoni hopkin maura tierney john ashton jon turteltaub drama thriller
Bobby Farrelly,Matt Damon,Terence Bernie Hines,Seymour Cassel,Comedy,stuck on you,matt damon terenc berni hine seymour cassel bobbi farrelli comedi
Kent Alterman,Will Ferrell,Maura Tierney,Matt Walsh,Comedy Sport,semi-pro,will ferrel maura tierney matt walsh kent alterman comedi sport
Peter Lord,Salma Hayek,Russell Tovey,Brian Blessed,Adventure Animation Comedy Family,the pirates! band of misfits,salma hayek russel tovey brian bless peter lord adventur anim comedi famili
Clint Eastwood,Angelina Jolie Pitt,Michael Kelly,Colm Feore,Crime Drama Mystery Thriller,changeling,angelina joli pitt michael kelli colm feor clint eastwood crime drama mysteri thriller
Andrew Davis,Keanu Reeves,Morgan Freeman,Kevin Dunn,Action Drama Sci-Fi Thriller,chain reaction,keanu reev morgan freeman kevin dunn andrew davi action drama sci-fi thriller
Tony Scott,Robert De Niro,Kurt Fuller,Ellen Barkin,Action Drama Sport Thriller,the fan,robert de niro kurt fuller ellen barkin toni scott action drama sport thriller
Joel Schumacher,Gerard Butler,Minnie Driver,Miranda Richardson,Drama Musical Romance Thriller,the phantom of the opera,gerard butler minni driver miranda richardson joel schumach drama music romanc thriller
Shekhar Kapur,Eddie Redmayne,Abbie Cornish,Jordi Mollà,Biography Drama History War,elizabeth: the golden age,eddi redmayn abbi cornish jordi mollà shekhar kapur biographi drama histori war
Karyn Kusama,Charlize Theron,Sophie Okonedo,Paterson Joseph,Action Sci-Fi,æon flux,charliz theron sophi okonedo paterson joseph karyn kusama action sci-fi
Ron Maxwell,Billy Campbell,Bruce Boxleitner,John Castle,Drama History War,gods and generals,billi campbel bruce boxleitn john castl ron maxwel drama histori war
Robert Butler,Hector Elizondo,Lauren Holly,Jeffrey DeMunn,Action Thriller,turbulence,hector elizondo lauren holli jeffrey demunn robert butler action thriller
Karey Kirkpatrick,Stephen Root,Ronny Cox,Richard Schiff,Comedy Drama Family Fantasy,imagine that,stephen root ronni cox richard schiff karey kirkpatrick comedi drama famili fantasi
James Bobin,Ty Burrell,Tina Fey,Hugh Bonneville,Adventure Comedy Crime Family Musical,muppets most wanted,ty burrel tina fey hugh bonnevil jame bobin adventur comedi crime famili music
Jonathan Frakes,Sophia Myles,Philip Winchester,Brady Corbet,Action Adventure Comedy Family Sci-Fi,thunderbirds,sophia myle philip winchest bradi corbet jonathan frake action adventur comedi famili sci-fi
Steve Antin,Eric Dane,Peter Gallagher,David Walton,Drama Music Musical Romance,burlesque,eric dane peter gallagh david walton steve antin drama music music romanc
Jean-Pierre Jeunet,Denis Lavant,André Dussollier,Albert Dupontel,Drama Mystery Romance War,a very long engagement,deni lavant andré dussolli albert dupontel jean-pierr jeunet drama mysteri romanc war
Jim Gillespie,Sylvester Stallone,Tom Berenger,Charles S. Dutton,Crime Horror Mystery Thriller,eye see you,sylvest stallon tom bereng charl s. dutton jim gillespi crime horror mysteri thriller
Guillermo del Toro,Norman Reedus,Thomas Kretschmann,Tony Curran,Action Horror Sci-Fi Thriller,blade ii,norman reedu thoma kretschmann toni curran guillermo del toro action horror sci-fi thriller
